glean_id,glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id,canonical_vendor_id 
cd048c68-446d-11eb-9ba5-2016b9350fa1,2020-12-22,First new bill in 13 months from vendor 37a1712d-f876-4282-9221-57b13e19dc9c,vendor_not_seen_in_a_while,invoice,98a27316-1ed0-4840-af36-608adf011f07,37a1712d-f876-4282-9221-57b13e19dc9c,
cd06efba-446d-11eb-87af-2016b9350fa1,2020-12-22,First new bill in 4 months from vendor ecb100ed-3d01-4251-b872-b8ea8b3b05f2,vendor_not_seen_in_a_while,invoice,86cd5e3c-babb-469f-8201-de2db3a83576,ecb100ed-3d01-4251-b872-b8ea8b3b05f2,
cd06efbb-446d-11eb-84b7-2016b9350fa1,2020-12-22,First new bill in 14 months from vendor ecb100ed-3d01-4251-b872-b8ea8b3b05f2,vendor_not_seen_in_a_while,invoice,4c9f59bc-bcfa-48d6-8e62-57afaa2fe1a9,ecb100ed-3d01-4251-b872-b8ea8b3b05f2,
cd06efbc-446d-11eb-9b99-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor bd81a118-4b34-4c01-821a-6413f32af010,vendor_not_seen_in_a_while,invoice,56a9e855-5e6b-4978-bb70-602198f709c7,bd81a118-4b34-4c01-821a-6413f32af010,
cd09511e-446d-11eb-ae09-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor 8f3ae183-3da9-4113-b432-e559dcba8f1c,vendor_not_seen_in_a_while,invoice,ac37194f-7d1f-4ed9-92cf-973dc0321d3f,8f3ae183-3da9-4113-b432-e559dcba8f1c,
cd0bb38a-446d-11eb-b9dd-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor 8617bc6b-a5c1-4441-b148-bb3268a1b4e6,vendor_not_seen_in_a_while,invoice,0bf92123-9ecd-4926-bc31-6f77a32e72e2,8617bc6b-a5c1-4441-b148-bb3268a1b4e6,
cd0bb38b-446d-11eb-bd14-2016b9350fa1,2020-12-22,First new bill in 4 months from vendor 89e07175-feef-43ea-a989-f96ad4d52fc5,vendor_not_seen_in_a_while,invoice,679dcf8f-b85a-4fed-8a87-06011ee08090,89e07175-feef-43ea-a989-f96ad4d52fc5,
cd0bb38c-446d-11eb-a4c3-2016b9350fa1,2020-12-22,First new bill in 6 months from vendor 89e07175-feef-43ea-a989-f96ad4d52fc5,vendor_not_seen_in_a_while,invoice,378f3ba8-3fc8-4e00-b0fe-33ee4fe00ef9,89e07175-feef-43ea-a989-f96ad4d52fc5,
cd0e15cc-446d-11eb-ae28-2016b9350fa1,2020-12-22,First new bill in 4 months from vendor 80255121-e6ff-4d27-ab0f-967834bbd068,vendor_not_seen_in_a_while,invoice,59dab3e6-9d48-43d4-8709-c7afee474254,80255121-e6ff-4d27-ab0f-967834bbd068,
cd0e15cd-446d-11eb-8519-2016b9350fa1,2020-12-22,First new bill in 6 months from vendor aee7d766-492f-42cb-b5c0-44744c2d8592,vendor_not_seen_in_a_while,invoice,da524b7e-4d08-402f-b7cc-5ec435fe652f,aee7d766-492f-42cb-b5c0-44744c2d8592,
cd107836-446d-11eb-9975-2016b9350fa1,2020-12-22,First new bill in 5 months from vendor f51bef62-eaee-4469-a595-f5617240ffd7,vendor_not_seen_in_a_while,invoice,29a4fcb6-c841-4719-b3b5-82a99c4bed05,f51bef62-eaee-4469-a595-f5617240ffd7,
cd107837-446d-11eb-bc80-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor aa2f1ec0-b189-4009-a928-edfba356a3ea,vendor_not_seen_in_a_while,invoice,d7cf2e35-2ad5-4138-89f2-e122488999d7,aa2f1ec0-b189-4009-a928-edfba356a3ea,
cd12da86-446d-11eb-8a13-2016b9350fa1,2020-12-22,First new bill in 4 months from vendor 29565c48-872e-4a2a-a582-00dcdac573a1,vendor_not_seen_in_a_while,invoice,3f7ee123-da31-4da6-9e4a-955036917a82,29565c48-872e-4a2a-a582-00dcdac573a1,
cd12da87-446d-11eb-8423-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor 2db713d9-3a53-493e-94a6-ac99c46692f6,vendor_not_seen_in_a_while,invoice,43e791f9-d00a-48f6-ac4f-b61a06ae7448,2db713d9-3a53-493e-94a6-ac99c46692f6,
cd153cf4-446d-11eb-a6df-2016b9350fa1,2020-12-22,First new bill in 4 months from vendor 8b841974-e08f-4259-b81c-42e9e4e52ce0,vendor_not_seen_in_a_while,invoice,60b339d1-4543-429e-a956-bf57db148555,8b841974-e08f-4259-b81c-42e9e4e52ce0,
cd179f4c-446d-11eb-84bf-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor b93ecf73-001d-4f4e-a51d-8be42d9f6566,vendor_not_seen_in_a_while,invoice,0fa4a2b0-91eb-4127-9330-30eadf5a2c36,b93ecf73-001d-4f4e-a51d-8be42d9f6566,
cd1a0192-446d-11eb-8de7-2016b9350fa1,2020-12-22,First new bill in 9 months from vendor 153ec8ce-be54-4776-9e21-78e27dc6c507,vendor_not_seen_in_a_while,invoice,00c82873-5763-44a7-8ef7-accd95970351,153ec8ce-be54-4776-9e21-78e27dc6c507,
cd1a0193-446d-11eb-81ff-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor 21fb3f80-6e2a-4558-8395-92291c594060,vendor_not_seen_in_a_while,invoice,314123f7-9f43-4b42-904c-4d41d53b0416,21fb3f80-6e2a-4558-8395-92291c594060,
cd1c63f6-446d-11eb-b942-2016b9350fa1,2020-12-22,First new bill in 6 months from vendor f63517f0-5734-4fec-a0b9-b31b5f5a1dfa,vendor_not_seen_in_a_while,invoice,c78951d3-fdfb-4891-b20b-409c889d0924,f63517f0-5734-4fec-a0b9-b31b5f5a1dfa,
cd1c63f7-446d-11eb-95a1-2016b9350fa1,2020-12-22,First new bill in 8 months from vendor ccbbb78a-7cb7-4241-8062-03c16ed80114,vendor_not_seen_in_a_while,invoice,8b16d573-35fb-42bb-945d-ff15c9c64645,ccbbb78a-7cb7-4241-8062-03c16ed80114,
cd21289e-446d-11eb-843e-2016b9350fa1,2020-12-22,First new bill in 6 months from vendor 986d39ef-7309-4465-9ac8-fcef6f3ee5f6,vendor_not_seen_in_a_while,invoice,44b99ba9-1161-46c2-96e5-476c48617f91,986d39ef-7309-4465-9ac8-fcef6f3ee5f6,
cd21289f-446d-11eb-a3bc-2016b9350fa1,2020-12-22,First new bill in 5 months from vendor 99a9882c-a221-44f7-8ebe-70bcbd44f037,vendor_not_seen_in_a_while,invoice,30b88037-7ac1-40b7-a39b-8649abb8c4e9,99a9882c-a221-44f7-8ebe-70bcbd44f037,
cd238afa-446d-11eb-8066-2016b9350fa1,2020-12-22,First new bill in 12 months from vendor cd2685ce-75d4-4c34-9f16-c84497f553ad,vendor_not_seen_in_a_while,invoice,e6d8bd39-5a45-4290-be7a-dbc0fd853412,cd2685ce-75d4-4c34-9f16-c84497f553ad,
cd238afb-446d-11eb-b1d1-2016b9350fa1,2020-12-22,First new bill in 14 months from vendor 638e18e6-906b-4dc2-af56-7b12107fdf70,vendor_not_seen_in_a_while,invoice,73a22fc0-8b17-4fa4-b702-0e850fa199c0,638e18e6-906b-4dc2-af56-7b12107fdf70,
cd25ed54-446d-11eb-8d3b-2016b9350fa1,2020-12-22,First new bill in 5 months from vendor a96c5d60-7df0-4360-b714-02ef221e4bd0,vendor_not_seen_in_a_while,invoice,bee78f9f-2da0-4435-b84f-74720824a734,a96c5d60-7df0-4360-b714-02ef221e4bd0,
cd25ed55-446d-11eb-86d9-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor a96c5d60-7df0-4360-b714-02ef221e4bd0,vendor_not_seen_in_a_while,invoice,90d81ad1-aa68-4178-b85b-fa49bf1ce7df,a96c5d60-7df0-4360-b714-02ef221e4bd0,
cd2d1454-446d-11eb-87ba-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,invoice,64a94d7a-b3a2-4944-b0da-7d477a337f40,10f69fbc-678c-4af1-8894-4f176c2b276c,
cd2d1455-446d-11eb-86af-2016b9350fa1,2020-12-22,First new bill in 6 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,invoice,75eb2429-b5b7-4383-9b61-5881193e0001,10f69fbc-678c-4af1-8894-4f176c2b276c,
cd2d1456-446d-11eb-8c8a-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,invoice,59f9fa6d-1441-44e1-a4a3-99c135f54f1b,10f69fbc-678c-4af1-8894-4f176c2b276c,
cd2d1457-446d-11eb-a9a3-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor 10f69fbc-678c-4af1-8894-4f176c2b276c,vendor_not_seen_in_a_while,invoice,5c54850a-a897-4e63-b73c-6f9f36b8f506,10f69fbc-678c-4af1-8894-4f176c2b276c,
cd2d1458-446d-11eb-bc2d-2016b9350fa1,2020-12-22,First new bill in 8 months from vendor 0d41b0c0-dd27-4c32-909d-a190744e747b,vendor_not_seen_in_a_while,invoice,e0d0a045-5b38-4874-ab65-1bb521648dea,0d41b0c0-dd27-4c32-909d-a190744e747b,
cd2d1459-446d-11eb-91d9-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor a1605dc3-90cb-403c-ab7e-14155e817cae,vendor_not_seen_in_a_while,invoice,40162583-9622-4b9e-9e3d-2931104abd2a,a1605dc3-90cb-403c-ab7e-14155e817cae,
cd2f76be-446d-11eb-8b96-2016b9350fa1,2020-12-22,First new bill in 6 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,invoice,6b694a05-c771-44b6-bc06-d095053dbef8,27184514-17c5-466d-9f68-e02253695bfa,
cd2f76bf-446d-11eb-8d02-2016b9350fa1,2020-12-22,First new bill in 4 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,invoice,b7aafc70-0e51-4e33-bf2f-a00da5b387db,27184514-17c5-466d-9f68-e02253695bfa,
cd2f76c0-446d-11eb-b674-2016b9350fa1,2020-12-22,First new bill in 7 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,invoice,da462169-1a02-431b-af9c-aa4696aa12a2,27184514-17c5-466d-9f68-e02253695bfa,
cd2f76c1-446d-11eb-84c3-2016b9350fa1,2020-12-22,First new bill in 3 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,invoice,765a2e3f-c64c-4546-bb16-ea612cdb68a2,27184514-17c5-466d-9f68-e02253695bfa,
